0: -10.787353515625, lr=0.01
1: -12.745086669921875, lr=0.01
2: -14.2889404296875, lr=0.01
3: -16.52855682373047, lr=0.01
4: -21.366058349609375, lr=0.01
5: -25.517478942871094, lr=0.01
6: -28.553604125976562, lr=0.01
7: -37.678138732910156, lr=0.01
8: -47.336936950683594, lr=0.01
9: -51.289894104003906, lr=0.01
10: -53.023956298828125, lr=0.01
11: -52.324501037597656, lr=0.01
12: -53.84746551513672, lr=0.01
13: -53.1815185546875, lr=0.01
14: -51.747779846191406, lr=0.01
15: -51.574195861816406, lr=0.01
16: -51.10090637207031, lr=0.01
17: -50.957359313964844, lr=0.01
18: -50.65972137451172, lr=0.01
19: -49.140350341796875, lr=0.01
20: -47.853111267089844, lr=0.01
21: -48.209930419921875, lr=0.01
22: -48.8603515625, lr=0.01
23: -49.29487609863281, lr=0.01
24: -48.392417907714844, lr=0.01
25: -49.41150665283203, lr=0.01
26: -48.58930206298828, lr=0.01
27: -48.156524658203125, lr=0.01
28: -49.982139587402344, lr=0.01
29: -50.236656188964844, lr=0.01
30: -50.775733947753906, lr=0.01
31: -52.733489990234375, lr=0.01
32: -54.35961151123047, lr=0.01
33: -53.17730712890625, lr=0.01
34: -46.76502990722656, lr=0.01
35: -39.48394012451172, lr=0.01
36: -35.56114959716797, lr=0.01
37: -31.357681274414062, lr=0.01
38: -28.495223999023438, lr=0.01
39: -25.47283172607422, lr=0.01
40: -19.917823791503906, lr=0.01
41: -18.24048614501953, lr=0.01
42: -17.03302764892578, lr=0.01
43: -16.09063720703125, lr=0.01
44: -14.890678405761719, lr=0.01
45: -14.398796081542969, lr=0.01
46: -13.891975402832031, lr=0.01
47: -12.695732116699219, lr=0.01
48: -12.890518188476562, lr=0.01
49: -13.051277160644531, lr=0.01
50: -13.123153686523438, lr=0.01
51: -13.735092163085938, lr=0.01
52: -14.237228393554688, lr=0.01
53: -15.354034423828125, lr=0.01
54: -17.056289672851562, lr=0.01
55: -18.105369567871094, lr=0.01
56: -19.908493041992188, lr=0.01
57: -20.20789337158203, lr=0.01
58: -20.62164306640625, lr=0.01
59: -21.41718292236328, lr=0.01
60: -22.716964721679688, lr=0.01
61: -24.217147827148438, lr=0.01
62: -25.412818908691406, lr=0.01
63: -25.51226806640625, lr=0.01
64: -26.56987762451172, lr=0.01
65: -28.705543518066406, lr=0.01
66: -26.142181396484375, lr=0.01
67: -25.738784790039062, lr=0.01
68: -25.422073364257812, lr=0.01
69: -24.758560180664062, lr=0.01
70: -21.778335571289062, lr=0.01
71: -19.641395568847656, lr=0.01
72: -21.269134521484375, lr=0.01
73: -23.358612060546875, lr=0.01
74: -24.846298217773438, lr=0.01
75: -22.78809356689453, lr=0.01
76: -22.92345428466797, lr=0.01
77: -22.527740478515625, lr=0.01
78: -21.026512145996094, lr=0.01
79: -18.891380310058594, lr=0.01
80: -18.078277587890625, lr=0.01
81: -17.834426879882812, lr=0.01
82: -18.322174072265625, lr=0.01
83: -18.543907165527344, lr=0.01
84: -19.06989288330078, lr=0.01
85: -18.935623168945312, lr=0.01
86: -17.94811248779297, lr=0.01
87: -17.637474060058594, lr=0.01
88: -17.303871154785156, lr=0.01
89: -17.769134521484375, lr=0.01
90: -17.897323608398438, lr=0.01
91: -17.764503479003906, lr=0.01
92: -17.37480926513672, lr=0.01
93: -17.774063110351562, lr=0.01
94: -18.654510498046875, lr=0.01
95: -19.253395080566406, lr=0.01
96: -20.248573303222656, lr=0.01
97: -20.66266632080078, lr=0.01
98: -20.909378051757812, lr=0.01
99: -21.370582580566406, lr=0.01
100: -21.57520294189453, lr=0.01
101: -22.652610778808594, lr=0.01
102: -24.03044891357422, lr=0.01
103: -22.709945678710938, lr=0.01
104: -22.997146606445312, lr=0.01
105: -22.707664489746094, lr=0.01
106: -22.30297088623047, lr=0.01
107: -22.527687072753906, lr=0.01
108: -23.045814514160156, lr=0.01
109: -22.319656372070312, lr=0.01
110: -22.285911560058594, lr=0.01
111: -21.59801483154297, lr=0.01
112: -20.40033721923828, lr=0.01
113: -19.87360382080078, lr=0.01
114: -19.73907470703125, lr=0.01
115: -21.159942626953125, lr=0.01
116: -22.210098266601562, lr=0.01
117: -22.73468780517578, lr=0.01
118: -23.335250854492188, lr=0.01
119: -23.808670043945312, lr=0.01
120: -23.991798400878906, lr=0.01
121: -23.156646728515625, lr=0.01
122: -24.167892456054688, lr=0.01
123: -24.205833435058594, lr=0.01
124: -23.9940185546875, lr=0.01
125: -24.474197387695312, lr=0.01
126: -24.671791076660156, lr=0.01
127: -24.228065490722656, lr=0.01
128: -23.818748474121094, lr=0.01
129: -23.294326782226562, lr=0.01
130: -24.39539337158203, lr=0.01
131: -24.733360290527344, lr=0.01
132: -27.593666076660156, lr=0.01
133: -28.896217346191406, lr=0.01
134: -31.022354125976562, lr=0.01
135: -35.67064666748047, lr=0.01
136: -40.827781677246094, lr=0.01
137: -45.347137451171875, lr=0.01
138: -49.36841583251953, lr=0.01
139: -56.58610534667969, lr=0.01
140: -68.22634887695312, lr=0.01
141: -72.42142486572266, lr=0.01
142: -86.3620376586914, lr=0.01
143: -92.51387023925781, lr=0.01
144: -101.43043518066406, lr=0.01
145: -107.70838928222656, lr=0.01
146: -109.586669921875, lr=0.01
147: -125.55707550048828, lr=0.01
148: -149.25643920898438, lr=0.01
149: -160.32608032226562, lr=0.01
150: -160.77178955078125, lr=0.01
151: -161.025146484375, lr=0.01
152: -163.1994171142578, lr=0.01
153: -158.810791015625, lr=0.01
154: -152.61880493164062, lr=0.01
155: -152.78536987304688, lr=0.01
156: -142.8357696533203, lr=0.01
157: -122.11785888671875, lr=0.01
158: -119.98516082763672, lr=0.01
159: -108.24501037597656, lr=0.01
160: -110.13582611083984, lr=0.01
161: -107.93160247802734, lr=0.01
162: -111.21798706054688, lr=0.01
163: -109.74056243896484, lr=0.01
164: -100.95589447021484, lr=0.01
165: -84.21926879882812, lr=0.01
166: -70.75578308105469, lr=0.01
167: -72.92146301269531, lr=0.01
168: -78.78595733642578, lr=0.01
169: -82.48910522460938, lr=0.01
170: -101.30005645751953, lr=0.01
171: -101.76948547363281, lr=0.01
172: -118.64289855957031, lr=0.01
173: -137.41824340820312, lr=0.01
174: -131.30474853515625, lr=0.01
175: -142.94406127929688, lr=0.01
176: -162.54727172851562, lr=0.01
177: -182.7313232421875, lr=0.01
178: -212.40867614746094, lr=0.01
179: -235.38119506835938, lr=0.01
180: -252.61892700195312, lr=0.01
181: -250.02203369140625, lr=0.01
182: -247.87664794921875, lr=0.01
183: -237.37078857421875, lr=0.01
184: -207.2818145751953, lr=0.01
185: -170.74578857421875, lr=0.01
186: -163.82261657714844, lr=0.01
187: -151.81642150878906, lr=0.01
188: -156.08966064453125, lr=0.01
189: -150.3223876953125, lr=0.01
190: -133.90628051757812, lr=0.01
191: -142.82717895507812, lr=0.01
192: -165.17103576660156, lr=0.01
193: -181.38674926757812, lr=0.01
194: -186.68759155273438, lr=0.01
195: -187.0626220703125, lr=0.01
196: -208.99923706054688, lr=0.01
197: -200.980224609375, lr=0.01
198: -170.09536743164062, lr=0.01
199: -138.9699249267578, lr=0.01
200: -117.01252746582031, lr=0.01
201: -113.76329040527344, lr=0.01
202: -104.74011993408203, lr=0.01
203: -98.78190612792969, lr=0.01
204: -99.16187286376953, lr=0.01
205: -101.06928253173828, lr=0.01
206: -113.08211517333984, lr=0.01
207: -126.76588439941406, lr=0.01
208: -127.23348236083984, lr=0.01
209: -147.31703186035156, lr=0.01
210: -148.09097290039062, lr=0.01
211: -145.5037841796875, lr=0.01
212: -120.44989013671875, lr=0.01
213: -117.00514221191406, lr=0.01
214: -109.65459442138672, lr=0.01
215: -103.9635009765625, lr=0.01
216: -99.71831512451172, lr=0.01
217: -98.80702209472656, lr=0.01
218: -109.61770629882812, lr=0.01
219: -112.27986907958984, lr=0.01
220: -111.72884368896484, lr=0.01
221: -91.05193328857422, lr=0.01
222: -74.34461212158203, lr=0.01
223: -69.74624633789062, lr=0.01
224: -69.27555084228516, lr=0.01
225: -64.896728515625, lr=0.01
226: -58.82762908935547, lr=0.01
227: -54.79718017578125, lr=0.01
228: -51.70782470703125, lr=0.01
229: -52.608489990234375, lr=0.01
230: -54.55175018310547, lr=0.01
231: -54.23838806152344, lr=0.01
232: -55.47547912597656, lr=0.01
233: -55.71751403808594, lr=0.01
234: -56.57794189453125, lr=0.01
235: -55.54151916503906, lr=0.01
236: -56.03692626953125, lr=0.01
237: -56.423309326171875, lr=0.01
238: -57.106224060058594, lr=0.01
239: -55.16221618652344, lr=0.01
240: -52.42601013183594, lr=0.01
241: -47.62995910644531, lr=0.01
242: -41.428749084472656, lr=0.01
243: -35.44374084472656, lr=0.01
244: -33.83064270019531, lr=0.01
245: -33.647125244140625, lr=0.01
246: -33.68901062011719, lr=0.01
247: -34.45801544189453, lr=0.01
248: -32.53319549560547, lr=0.01
249: -32.69136047363281, lr=0.01
250: -33.37572479248047, lr=0.01
251: -34.98020935058594, lr=0.01
252: -34.918601989746094, lr=0.01
253: -33.70600891113281, lr=0.01
254: -33.782447814941406, lr=0.01
255: -32.01439666748047, lr=0.01
256: -31.682952880859375, lr=0.01
257: -32.98927307128906, lr=0.01
258: -34.341064453125, lr=0.01
259: -41.67780303955078, lr=0.01
260: -40.730438232421875, lr=0.01
261: -41.80677795410156, lr=0.01
262: -41.222991943359375, lr=0.01
263: -41.008262634277344, lr=0.01
264: -40.747962951660156, lr=0.01
265: -43.21375274658203, lr=0.01
266: -44.05176544189453, lr=0.01
267: -45.215728759765625, lr=0.01
268: -47.620208740234375, lr=0.01
269: -45.944427490234375, lr=0.01
270: -45.30793762207031, lr=0.01
271: -43.99683380126953, lr=0.01
272: -43.826011657714844, lr=0.01
273: -45.034645080566406, lr=0.01
274: -40.75425720214844, lr=0.01
275: -42.12097930908203, lr=0.01
276: -30.53253173828125, lr=0.01
277: -29.483253479003906, lr=0.01
278: -36.84452819824219, lr=0.01
279: -27.194183349609375, lr=0.01
280: -28.471405029296875, lr=0.01
281: -29.829124450683594, lr=0.01
282: -30.380020141601562, lr=0.01
283: -35.45860290527344, lr=0.01
284: -25.90680694580078, lr=0.01
285: -28.57048797607422, lr=0.01
286: -29.733238220214844, lr=0.01
287: -18.77204132080078, lr=0.01
288: -15.78179931640625, lr=0.01
289: -13.567337036132812, lr=0.01
290: -14.926750183105469, lr=0.01
291: -15.152397155761719, lr=0.01
292: -17.7076416015625, lr=0.01
293: -20.38530731201172, lr=0.01
294: -25.661849975585938, lr=0.01
295: -37.0706787109375, lr=0.01
296: -45.62560272216797, lr=0.01
297: -43.140296936035156, lr=0.01
298: -42.48162078857422, lr=0.01
299: -24.13494110107422, lr=0.01
300: -19.214553833007812, lr=0.01
301: -16.712379455566406, lr=0.01
302: -16.24432373046875, lr=0.01
